subject	frame	mean	roi	roicode
group	9	-7.52376254861111	6	6
group	10	-6.351595	6	6
group	11	-7.20844493055556	6	6
group	12	-10.7158571597222	6	6
group	13	-13.2156352777778	6	6
group	14	-13.4611846527778	6	6
group	15	-15.1703636805556	6	6
group	16	-13.9973173611111	6	6
group	17	-14.8145487777778	6	6
group	18	-18.6680667361111	6	6
group	19	-19.9325965277778	6	6
group	20	-19.1348833333333	6	6
group	21	-17.6607233333333	6	6
group	22	-18.4074888194444	6	6
group	23	-18.1594388194444	6	6
group	24	-19.5649971041667	6	6
group	25	-12.9985913888889	6	6
group	26	-10.142523125	6	6
group	27	-3.90063177777778	6	6
group	28	0.375590923611111	6	6
group	29	1.77660965277778	6	6
group	30	1.69857264444444	6	6
group	31	1.14301827777778	6	6
group	32	0.611748114861111	6	6
group	33	-17.0702189583333	6	6
